epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,10805.3,1.10261,1.55245,1.08642,0.57602,0.40426,0.43915,0.33232,0.98675,1.40887,1.00836,0.000647085,0.000647085,0.000647085
20,11372.4,1.1194,1.53902,1.09379,0.56074,0.43499,0.45173,0.34459,0.98256,1.34867,1.01338,0.000604203,0.000604203,0.000604203
21,11939.8,1.10375,1.51935,1.08503,0.63017,0.42003,0.47486,0.36549,0.97692,1.3063,1.00293,0.000561055,0.000561055,0.000561055
22,12509.2,1.09045,1.46275,1.06793,0.64272,0.41371,0.47386,0.36907,0.95763,1.33176,1.0003,0.000517907,0.000517907,0.000517907
23,13077.8,1.06936,1.42184,1.06755,0.66367,0.42563,0.49274,0.38268,0.96192,1.2533,0.99468,0.000475025,0.000475025,0.000475025
24,13646.3,1.05297,1.40229,1.05282,0.66048,0.4596,0.51589,0.40249,0.94742,1.21914,0.99304,0.000432673,0.000432673,0.000432673
25,14215.2,1.05312,1.35886,1.05961,0.72139,0.46344,0.53674,0.41633,0.94077,1.14976,0.98751,0.000391113,0.000391113,0.000391113
26,14782.2,1.04412,1.35462,1.05309,0.6931,0.47853,0.5389,0.42095,0.92375,1.14345,0.97944,0.0003506,0.0003506,0.0003506
27,15351.2,1.02144,1.31235,1.05049,0.69275,0.48638,0.55046,0.43058,0.91246,1.13087,0.97389,0.000311385,0.000311385,0.000311385
28,15921.1,1.05515,1.32431,1.04971,0.72099,0.49061,0.55007,0.43491,0.90081,1.11351,0.9696,0.00027371,0.00027371,0.00027371
29,16489.9,1.01658,1.27057,1.03603,0.71121,0.49986,0.56271,0.4423,0.89569,1.06881,0.96644,0.000237805,0.000237805,0.000237805
30,17061.9,1.01464,1.2538,1.03586,0.75008,0.48795,0.56368,0.4434,0.89433,1.10833,0.96764,0.000203894,0.000203894,0.000203894
31,17628.7,0.94111,1.20034,0.99619,0.74963,0.49823,0.56602,0.44623,0.88821,1.07351,0.96536,0.000172185,0.000172185,0.000172185
32,18195.2,0.92383,1.1321,0.99112,0.72215,0.51645,0.5762,0.45475,0.88464,1.0581,0.96552,0.000142874,0.000142874,0.000142874
33,18771.5,0.92143,1.1132,0.97803,0.77754,0.50208,0.58261,0.46144,0.87328,1.01863,0.95666,0.00011614,0.00011614,0.00011614
34,19348.6,0.91264,1.07565,0.98144,0.76234,0.51701,0.58951,0.46609,0.87357,0.99111,0.95626,9.21498e-05,9.21498e-05,9.21498e-05
35,19916.3,0.91643,1.06733,0.9858,0.76653,0.52042,0.59315,0.47088,0.86545,0.98071,0.95357,7.10504e-05,7.10504e-05,7.10504e-05
36,20484,0.89188,1.02993,0.96716,0.76504,0.52578,0.59851,0.47516,0.8656,0.96197,0.95227,5.29721e-05,5.29721e-05,5.29721e-05
37,21051.8,0.8903,1.04718,0.97561,0.7624,0.52472,0.60092,0.47788,0.86232,0.95831,0.95217,3.80262e-05,3.80262e-05,3.80262e-05
38,21621.3,0.8996,1.04279,0.97995,0.76314,0.52634,0.60068,0.47825,0.85969,0.95667,0.95069,2.6305e-05,2.6305e-05,2.6305e-05
39,22189.2,0.89606,1.0263,0.9766,0.7942,0.51913,0.60173,0.47855,0.85818,0.95452,0.95057,1.78807e-05,1.78807e-05,1.78807e-05
40,22761.1,0.90835,1.04865,0.97991,0.78313,0.52481,0.60191,0.47802,0.85744,0.95494,0.95054,1.28053e-05,1.28053e-05,1.28053e-05
