epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,575.696,1.11844,1.88711,1.09866,0.41904,0.31176,0.28906,0.21697,1.06312,1.86762,1.04605,0.000366351,0.000366351,0.000366351
2,1144.41,1.18969,1.95901,1.12981,0.3024,0.3085,0.23233,0.16656,1.1763,2.04701,1.11876,0.00073556,0.00073556,0.00073556
3,1724.46,1.23545,2.00573,1.14138,0.29866,0.26857,0.21369,0.14841,1.2287,2.65116,1.15977,0.00110027,0.00110027,0.00110027
4,2290.74,1.27315,2.02437,1.15856,0.27236,0.30368,0.20544,0.14236,1.20691,2.19927,1.12189,0.0010958,0.0010958,0.0010958
5,2856.56,1.25734,2.02807,1.17458,0.36685,0.28398,0.25086,0.17921,1.20139,1.98067,1.12538,0.00108408,0.00108408,0.00108408
6,3419.56,1.24513,1.9615,1.14339,0.36238,0.30878,0.25394,0.17656,1.19972,1.95122,1.12448,0.00106914,0.00106914,0.00106914
7,3984.49,1.24108,1.9317,1.14929,0.38261,0.32665,0.28726,0.20493,1.14636,1.88451,1.09087,0.00105106,0.00105106,0.00105106
8,4549.49,1.23372,1.91868,1.14609,0.37952,0.31318,0.28397,0.20525,1.1346,1.83687,1.09667,0.00102996,0.00102996,0.00102996
9,5117.54,1.23772,1.88283,1.14033,0.42455,0.35759,0.33068,0.23907,1.12851,1.84907,1.08176,0.00100597,0.00100597,0.00100597
10,5682.91,1.1985,1.8276,1.12865,0.43091,0.38495,0.34419,0.25158,1.10964,1.70373,1.06838,0.000979236,0.000979236,0.000979236
11,6249.89,1.2193,1.81377,1.13502,0.47908,0.34438,0.33377,0.24896,1.08614,1.77938,1.05792,0.000949925,0.000949925,0.000949925
12,6818.53,1.15539,1.75138,1.11798,0.418,0.34682,0.31895,0.23622,1.07587,1.91764,1.05181,0.000918216,0.000918216,0.000918216
13,7384.71,1.17929,1.74321,1.12853,0.48998,0.33805,0.35496,0.26533,1.0558,1.76709,1.04223,0.000884305,0.000884305,0.000884305
14,7964.59,1.17085,1.74775,1.11715,0.48314,0.37625,0.37084,0.27674,1.05236,1.6092,1.04794,0.0008484,0.0008484,0.0008484
15,8530.01,1.15526,1.68147,1.10551,0.46638,0.41183,0.40381,0.30918,1.03328,1.50437,1.03161,0.000810725,0.000810725,0.000810725
16,9096.68,1.12744,1.64171,1.0981,0.58533,0.38529,0.40977,0.31078,1.02334,1.55602,1.03658,0.00077151,0.00077151,0.00077151
17,9661.67,1.11446,1.63605,1.09251,0.56806,0.40194,0.42059,0.31645,1.02357,1.48486,1.02426,0.000730997,0.000730997,0.000730997
18,10233.9,1.12164,1.59971,1.10103,0.60265,0.38075,0.41842,0.31316,1.02706,1.65758,1.02867,0.000689437,0.000689437,0.000689437
