epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,11953.2,1.09357,1.56633,1.08193,0.6512,0.3751,0.43466,0.32911,0.98535,1.43701,1.01814,0.00077151,0.00077151,0.00077151
17,12678.4,1.07239,1.54954,1.07952,0.62741,0.40536,0.45776,0.34634,0.97524,1.34151,1.01534,0.000730997,0.000730997,0.000730997
18,13418.8,1.07155,1.50284,1.07937,0.57488,0.4213,0.45483,0.34518,0.97555,1.45267,1.00964,0.000689437,0.000689437,0.000689437
19,14302.7,1.05538,1.46669,1.06676,0.60843,0.41915,0.47316,0.35513,0.94812,1.324,0.99609,0.000647085,0.000647085,0.000647085
20,15131.5,1.07775,1.44395,1.07586,0.57637,0.41913,0.4608,0.34781,0.94929,1.30637,0.99265,0.000604203,0.000604203,0.000604203
21,15907.2,1.05297,1.40714,1.06059,0.63345,0.43652,0.50951,0.39126,0.92349,1.21913,0.9824,0.000561055,0.000561055,0.000561055
22,16688.3,1.03359,1.35073,1.0419,0.6203,0.45478,0.5066,0.39129,0.90482,1.2123,0.97932,0.000517907,0.000517907,0.000517907
23,17484,1.01411,1.31364,1.04606,0.70224,0.47646,0.54179,0.41995,0.9095,1.12858,0.97809,0.000475025,0.000475025,0.000475025
24,18443.4,0.99994,1.29331,1.02823,0.71846,0.47185,0.55261,0.43022,0.89045,1.10432,0.96792,0.000432673,0.000432673,0.000432673
25,19323.8,0.99656,1.25728,1.03597,0.69749,0.5003,0.56246,0.44385,0.87038,1.05529,0.96033,0.000391113,0.000391113,0.000391113
26,20068.9,0.98223,1.23922,1.02921,0.74456,0.4962,0.58152,0.45865,0.85737,1.01693,0.95549,0.0003506,0.0003506,0.0003506
27,20854.6,0.97064,1.20642,1.03387,0.78807,0.50798,0.59158,0.46123,0.85494,1.00216,0.95578,0.000311385,0.000311385,0.000311385
28,21601.1,0.99922,1.21996,1.02961,0.77535,0.51828,0.59704,0.47249,0.84292,0.96213,0.9484,0.00027371,0.00027371,0.00027371
29,22344.8,0.95282,1.14036,1.01347,0.80113,0.51197,0.60364,0.47669,0.83466,0.95005,0.94298,0.000237805,0.000237805,0.000237805
30,23082,0.96454,1.14372,1.01486,0.82107,0.51116,0.60811,0.48004,0.82641,0.95554,0.94296,0.000203894,0.000203894,0.000203894
31,23819.1,0.89699,1.13433,0.97754,0.78762,0.51899,0.60585,0.47849,0.83062,0.94798,0.94321,0.000172185,0.000172185,0.000172185
32,24628.3,0.8753,1.047,0.97237,0.76513,0.52156,0.60634,0.47996,0.82781,0.95464,0.94287,0.000142874,0.000142874,0.000142874
33,25409,0.8678,1.0019,0.95831,0.79489,0.52398,0.61361,0.4894,0.81876,0.91179,0.93904,0.00011614,0.00011614,0.00011614
34,26171.3,0.85979,1.00051,0.96357,0.78383,0.53245,0.61922,0.49281,0.81198,0.89059,0.9369,9.21498e-05,9.21498e-05,9.21498e-05
35,26907.9,0.86464,0.99391,0.96744,0.7707,0.54496,0.62307,0.49873,0.8049,0.86381,0.93349,7.10504e-05,7.10504e-05,7.10504e-05
36,27644.4,0.84686,0.94637,0.95369,0.816,0.53095,0.6276,0.49987,0.80682,0.8581,0.93216,5.29721e-05,5.29721e-05,5.29721e-05
37,28386.9,0.84423,0.95758,0.95861,0.81991,0.53894,0.63105,0.5049,0.79825,0.84404,0.93082,3.80262e-05,3.80262e-05,3.80262e-05
38,29127.1,0.85264,0.9537,0.9611,0.81311,0.54324,0.63102,0.50573,0.7992,0.84633,0.93064,2.6305e-05,2.6305e-05,2.6305e-05
39,29868,0.85048,0.9382,0.95967,0.80782,0.54317,0.63134,0.50544,0.79865,0.84424,0.93079,1.78807e-05,1.78807e-05,1.78807e-05
40,30608.8,0.84793,0.94303,0.96,0.80904,0.54728,0.63317,0.50681,0.79577,0.83713,0.93009,1.28053e-05,1.28053e-05,1.28053e-05
