epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,733.37,1.05451,1.46036,1.0659,0.61326,0.41618,0.46612,0.35826,0.9728,1.32705,0.9959,0.000366351,0.000366351,0.000366351
2,1466.21,1.11202,1.61501,1.08834,0.55389,0.33354,0.36047,0.26451,1.11342,1.65345,1.06048,0.00073556,0.00073556,0.00073556
3,2218.99,1.1983,1.80678,1.12268,0.3399,0.3065,0.25914,0.18128,1.15884,2.19797,1.10617,0.00110027,0.00110027,0.00110027
4,2979.88,1.25378,1.92738,1.14186,0.37462,0.28322,0.2657,0.18517,1.18269,1.92432,1.10388,0.0010958,0.0010958,0.0010958
5,3743.77,1.24511,1.90595,1.16171,0.35117,0.32905,0.26581,0.18803,1.13334,1.83748,1.08796,0.00108408,0.00108408,0.00108408
6,4467.86,1.20308,1.8547,1.1276,0.37444,0.34454,0.27966,0.19724,1.14193,1.83723,1.08956,0.00106914,0.00106914,0.00106914
7,5191.52,1.20797,1.83535,1.13342,0.38294,0.30957,0.28136,0.20089,1.12396,1.79329,1.07451,0.00105106,0.00105106,0.00105106
8,5919.46,1.22076,1.84885,1.14212,0.36614,0.28559,0.26504,0.18676,1.15877,1.92076,1.1037,0.00102996,0.00102996,0.00102996
9,6644.94,1.20045,1.79429,1.12177,0.42027,0.35558,0.32724,0.23103,1.10838,1.72451,1.09127,0.00100597,0.00100597,0.00100597
10,7373.66,1.1741,1.77454,1.12649,0.42154,0.35657,0.32635,0.23282,1.11282,1.70574,1.07093,0.000979236,0.000979236,0.000979236
11,8100.6,1.17543,1.73361,1.11069,0.48984,0.3601,0.3577,0.2591,1.06546,1.71246,1.04413,0.000949925,0.000949925,0.000949925
12,8915.02,1.12448,1.67473,1.09564,0.49164,0.36144,0.36522,0.27368,1.04338,1.59982,1.04837,0.000918216,0.000918216,0.000918216
13,9733.15,1.137,1.67008,1.10757,0.55806,0.34881,0.38982,0.28586,1.04973,1.59383,1.04267,0.000884305,0.000884305,0.000884305
14,10496.9,1.13062,1.64143,1.09681,0.5403,0.35244,0.38031,0.27718,1.04734,1.54894,1.04772,0.0008484,0.0008484,0.0008484
15,11225.9,1.11417,1.60637,1.08535,0.54912,0.37139,0.3957,0.29779,1.0038,1.48055,1.02533,0.000810725,0.000810725,0.000810725
